==4149== Lackey, an example Valgrind tool
==4149== Copyright (C) 2002-2013, and GNU GPL'd, by Nicholas Nethercote.
==4149== Using Valgrind-3.10.0.SVN and LibVEX; rerun with -h for copyright info
==4149== Command: ./quicksort
I  04004a83,3
 L bec69108,4
I  04004a86,3
 L 04020fc0,4
I  04004a89,2
I  04004a8b,3
 S bec69104,4
I  04004a8e,3
 L bec69108,4
I  04004a91,3
I  04004a94,2
I  04004a96,3
I  04004a99,3
 L bec69100,4
I  04004a9c,3
I  04004a9f,2
I  04004aa1,2
I  04004aa3,2
I  04004aa5,3
 S bec690fc,4
I  04004aa8,6
 L 04021584,4
I  04004aae,6
 L 040215d8,4
I  04004ab4,3
 L 04020f78,4
I  04004ab7,3
 L 04020f88,4
I  04004aba,3
 L bec69108,4
I  04004abd,2
I  04004abf,2
I  04004ac1,3
 L bec69104,4
I  04004ac4,2
I  04004ac6,4
 L bec69108,4
I  04004aca,3
 L bec69100,4
I  04004acd,3
 L bec690fc,4
I  04004ad0,2
I  04004ad2,3
 S bec69104,4
I  04004ad5,6
 L 04021594,4
I  04004adb,2
I  04004add,3
 L 04020f58,4
I  04004ae0,3
 S bec69100,4
I  04004ae3,2
I  04004ae5,3
I  04004ae8,2
 L 04000744,4
I  04004aea,2
I  04004aec,4
 L 04000748,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020eb0,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 0400074c,4
I  04004aea,2
I  04004aec,4
 L 04000750,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ec4,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 04000754,4
I  04004aea,2
I  04004aec,4
 L 04000758,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ec8,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 0400075c,4
I  04004aea,2
I  04004aec,4
 L 04000760,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ecc,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 04000764,4
I  04004aea,2
I  04004aec,4
 L 04000768,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ed0,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 0400076c,4
I  04004aea,2
I  04004aec,4
 L 04000770,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ed4,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 04000774,4
I  04004aea,2
I  04004aec,4
 L 04000778,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ed8,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 0400077c,4
I  04004aea,2
I  04004aec,4
 L 04000780,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020edc,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 04000784,4
I  04004aea,2
I  04004aec,4
 L 04000788,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ee0,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 0400078c,4
I  04004aea,2
I  04004aec,4
 L 04000790,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ee4,4
I  04004afb,2
I  04004afd,2
I  04004ae8,2
 L 04000794,4
I  04004aea,2
I  04004aec,4
 L 04000798,1
I  04004af0,6
I  04004af6,3
I  04004af9,2
 M 04020ee8,4
I  04004afb,2
I  04004afd,2
I  04004aff,6
 L 04021640,4
I  04004b05,2
I  04004b07,6
I  04004b0d,3
 L bec69104,4
I  04004b10,6
I  04004b16,3
 S bec690fc,4
I  04004b19,6
I  04004b1f,3
 S bec690f0,4
I  04004b22,6
I  04004b28,3
 S bec690f8,4
I  04004b2b,1
I  04004b2c,4
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 0400079c,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007a0,4
I  04004b3e,2
I  04004b40,3
I  04004b43,3
I  04004b46,3
I  04004b49,3
 L bec69100,4
I  04004b4c,3
 L 040003d0,4
I  04004b4f,3
 L 0402155c,4
I  04004b52,4
 L 040003d8,1
I  04004b56,3
I  04004b59,3
I  04004b5c,6
I  04004b62,3
I  04004b65,3
I  04004b68,2
I  04004b6a,7
 L 0401881c,4
I  04004b71,3
I  04004b74,2
I  04004bc8,3
 L bec69108,4
I  04004bcb,2
 S 04020fec,4
I  04004bcd,2
I  04004ba8,3
I  04004bab,3
 L bec69104,4
I  04004bae,2
I  04004b30,3
 L bec690f8,4
I  04004b33,2
 L 040007a4,4
I  04004b35,3
 L bec690fc,4
I  04004b38,3
 S bec69108,4
I  04004b3b,3
 L 040007a8,4
